entity_type,id,entity_key,status
chain_node,4c6f0c8f-13aa-58a8-a986-ffc790e9e99c,chain_node:advanced_packaging,active
chain_node,cb238ba6-6cf1-50cd-bcae-ed491cabcd4f,chain_node:ai_framework,active
chain_node,a53a1d31-c800-5323-befc-ac2f44b81837,chain_node:air_transport,active
chain_node,74e88028-a1ab-58f2-8808-330d08efe122,chain_node:ai_server,active
chain_node,ddf8d0ad-ac29-550a-826e-079750ee6a59,chain_node:ai_storage_system,active
chain_node,8c23716e-16b2-54e6-8b87-f60439fb0935,chain_node:aluminum,active
chain_node,38bcb515-c818-59b9-b0f7-ce86a019123a,chain_node:charging_pile,active
chain_node,431b7e8b-8a9d-5b6a-b4c6-ddb0568cebef,chain_node:chemical_raw_material,active
chain_node,d1084987-19c3-5b41-91d8-694870e36773,chain_node:cmp_equipment,active
chain_node,a5bff9b7-e365-550e-9fe7-cf16ef67c395,chain_node:coal,active
chain_node,0efabfb7-1f9e-5211-a51d-bb1649a0a3a9,chain_node:cobalt,active
chain_node,8bc4c471-44cc-588d-a518-bd10632da82d,chain_node:copper,active
chain_node,4139b173-c333-5a05-baff-3f801df99b37,chain_node:cpu,active
chain_node,35b21a0f-bfac-50f0-82b4-1517e5cdd612,chain_node:cross_border_logistics,active
chain_node,d64426cb-690a-583b-93c0-17254911dced,chain_node:crude_oil,active
chain_node,255fc68e-9254-5016-b3a2-3c728a047ba9,chain_node:data_center,active
chain_node,7392561a-f268-575a-9798-a0c183cca7a6,chain_node:data_center_networking,active
chain_node,ab1165c6-8e47-5d1f-804f-1bf6dd1bf602,chain_node:deposition_equipment,active
chain_node,4e9c51af-2487-5b98-b8bb-44b3fa086c9b,chain_node:eda,active
chain_node,0876fdcd-b0ba-5cac-bbfb-450b9ab1b814,chain_node:electric_power,active
chain_node,31beec7c-99dc-5a93-a447-12ea843a33f9,chain_node:electronic_specialty_gases,active
chain_node,22c0518d-19af-5968-acfe-8ffa2af8cec2,chain_node:energy_storage_battery,active
chain_node,f1967fe2-c2ec-5110-a957-dad067c4e59e,chain_node:etch_equipment,active
chain_node,8a21c5bf-454a-5ebc-9a60-e8b85b2a3696,chain_node:gpu,active
chain_node,38d7eaaf-b507-5e6f-b974-a177e8546768,chain_node:hbm,active
chain_node,8b2155fa-08f2-57ed-ae1e-c9f95b633072,chain_node:integrated_circuit,active
chain_node,1c45e444-6b33-50b3-8ede-2e80301a7476,chain_node:integrated_circuit_design,active
chain_node,92752f4b-9bec-5ebf-ae55-ad50d712cc90,chain_node:ion_implantation_equipment,active
chain_node,34c3c5ea-262c-54db-a6db-3802843bd2f2,chain_node:liquid_cooling_system,active
chain_node,196d5795-3242-5f3e-b305-abe52ca0e773,chain_node:lithium_carbonate,active
chain_node,756548de-3a2a-5998-831b-5de5a78aea87,chain_node:lithium_mine,active
chain_node,dea1dd40-973d-5431-8612-a01a45395a0b,chain_node:lithography_machine,active
chain_node,5c1d2498-da91-5f9c-ac27-c505ec26e2b5,chain_node:machine_tool,active
chain_node,83c9897c-3e20-55f8-8dd5-729154b34c8d,chain_node:metrology_inspection_equipment,active
chain_node,7645f63c-237d-5819-a818-ba3565175d5d,chain_node:natural_gas,active
chain_node,03b0162e-1af5-5c68-b9fc-fc254357d4ea,chain_node:nev,active
chain_node,af4747dd-0364-534b-afdc-ad275a992f2c,chain_node:nickel,active
chain_node,cdb1ac83-82b3-5a95-b563-9eca4054c7d2,chain_node:optical_interconnect,active
chain_node,7d49c9fd-f661-535f-a6f8-e87cd5786052,chain_node:photoresist,active
chain_node,07ed2fc0-94b7-5f75-ab78-09a362e88f9c,chain_node:polysilicon,active
chain_node,9d2c4bb2-6987-5ae1-8646-80b3694a00a5,chain_node:power_battery,active
chain_node,3bd72a86-f31f-5f88-b0fc-22d4a6a4f784,chain_node:power_grid,active
chain_node,644ab557-7dd0-56da-b3f2-7321c5c84aa5,chain_node:power_semiconductor,active
chain_node,849011fe-665c-5ebb-abf7-5fa16dbd6af4,chain_node:rack_power_system,active
chain_node,693d352a-5433-5621-a9e0-03a84d73c628,chain_node:rare_earth,active
chain_node,b03d83e2-332c-5d81-a9e3-92972d9689b4,chain_node:robot,active
chain_node,be746f86-a5a4-5057-8f46-fe0b5ec76f8b,chain_node:scale_up_interconnect,active
chain_node,de4da9d8-130d-539c-8a73-15c403511845,chain_node:semiconductor_equipment,active
chain_node,61068f70-ed98-5603-9734-dac75e205bef,chain_node:semiconductor_silicon_wafer,active
chain_node,0bbb6d5a-58a6-5f68-9665-9b79b79aff07,chain_node:semiconductor_testing,active
chain_node,35024a23-b370-5414-90f8-7fe3a6c3a75f,chain_node:sensor,active
chain_node,d55a7294-be11-567e-ac33-d6b339d8059e,chain_node:steel,active
chain_node,572eb42d-a3a8-5054-a9ec-dd2af701bef5,chain_node:uranium,active
chain_node,6b49b7d6-979c-5f67-8615-c85caa2222fb,chain_node:wafer_fabrication,active
industry_chain,bf1fd046-15dc-552f-929a-3cd0b087dcd3,industry_chain:ai_compute_infrastructure,active
industry_chain,4e5c9c99-4df4-550e-a598-28e8d28d952e,industry_chain:semiconductor_manufacturing,active
sector,8e794fcc-71ae-5ffc-b7f6-57b931e0a0b8,sector:industry_advanced_machinery_automation,active
